variable,coef,se_hc3,t,p,sig
const,-19.073236476407487,8.375383238901387,-2.2772971614979323,0.022768486336266474,*
log_area_m2,-0.24288691339084678,0.01287309351119543,-18.86779686480283,2.0986736493051016e-79,***
is_mat_tien,0.2676886808897024,0.013202426914242255,20.27571768649069,2.1069605456595745e-91,***
so_tang,0.030832566387646976,0.059766220511838775,0.5158861665267844,0.6059339163434148,
cap_ord,-0.13640143435659796,0.0823704140944534,-1.6559517862832118,0.0977315830357577,.
frontage_m_filled,0.00012977280254014914,0.0032791278155088806,0.03957540231471886,0.9684316381808553,
log_dist_bt,-0.1732609660274591,0.030850077707930638,-5.616224622439731,1.9517490554838674e-08,***
transaction_year,0.019209651717545573,0.0041275000344427265,4.654064580798764,3.2545479423918578e-06,***
Tân Bình,0.28147124796210654,0.02503436054388169,11.243396749388795,2.495902160526154e-29,***
Tân Phú,0.2505848887504652,0.015450998007069786,16.218039031252683,3.76009241207719e-59,***
